adj,adj
adj&CP,adj
adj&SP,adj
adj:n,adj
adj:v,adj
adj-CP,adj
adj-SP,adj
adv,adv
adv&CP,adv
adv&SP,adv
adv:adj,adv
adv:int,adv
adv:wh,adv
aux|be,aux
aux|do,aux
aux|have,aux
fam,chi
conj:coo,coo
v:cop&1S,cop
v:cop&PRES,cop
v:cop&3S,cop
v:cop&PAST&13S,cop
v:cop&PAST,cop
v:cop,cop
det:num,det
det:wh,det
pro:poss:det,det
det:num-PL,det-pl
pro:exist,ext
n:gerund-GERUND,ger
n:gerund-GERUND-PL,ger-pl
pro:indef,idf
pro:indef-PL,idf
co,int
co:voc,int
n:let,let
n:let-PL,let-pl
adv:loc,loc
aux,mod
n:adj,n
n:adj-DIM,n
n:adj-NESS,n
n:v-AGT,n
n-DIM,n
n-FULL,n
n&PL,n-pl
n:pt,n-pl
n:v-AGT-PL,n-pl
n-DIM-PL,n-pl
n-PL,n-pl
n-PL,n-pl
n:prop,n-pr
n:prop-POSS,n-pr
n:prop-PL,n-pr-pl
on,ono
phon,pho
pro:poss,pps
prep,pre
pro:dem,pro
pro:wh,pro
part,prt
part&PERF,prt-pf
part-PERF,prt-pf
part-PROG,prt-pg
post,psq
qn,qnt
pro:refl,ref
chi,chi
det,det
fil,fil
inf,inf
int,int
n,n
neg,neg
neo,dashNEO
pro,pro
no tag,ptl
rel,rel
unk,unk
sing,sin
conj:subor,sub
adv:tem,tem
bab,vb
v,vb
v:n,vb
v&PAST,vbd
v-PAST,vbd
v&ZERO,vbo
v&3S,vbs
v-3S,vbs
wplay,wpl
